age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
16 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days, ,No,Once or twice per year, , , ,0 days
15 years old,Female,Sophomore - 10th,Black, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,I have never gambled, , , ,1 or 2 days
15 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,No,Once or twice per year, , , ,All 30 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly C's,9, ,No,9, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly E's or F's,0 days, ,No,Daily, , , ,1 or 2 days
16 years old,Female,Sophomore - 10th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly D's,4 or 5 days, ,Yes,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,No,At least once per month, , , ,6 to 9 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days, ,No,Weekly, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,Black, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,Black, ,Mostly B's,2 or 3 days, ,Yes,I have never gambled, , , ,3 to 5 days
16 years old,Female,Freshman - 9th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
16 years old,Male,Junior - 11th,White, ,Mostly C's,0 days, ,No,9, , , ,3 to 5 days
16 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly C's,9, ,No,9, , , ,0 days
15 years old,Male,Freshman - 9th,Other, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,1 or 2 days
14 years old,Female,Freshman - 9th,Hispanic or Latino, ,I don't know,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
14 years old,Male,Freshman - 9th,Black, ,I don't know,6 or more days, ,I have never had sexual intercourse,Once or twice per year, , , ,3 to 5 days
14 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,1 or 2 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Freshman - 9th,Other, ,Mostly D's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly D's,0 days, ,No,At least once per month, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,3 to 5 days
15 years old,Male,Freshman - 9th,Hispanic or Latino, ,I don't know,0 days, ,No,At least once per month, , , ,0 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly A's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,Other, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
15 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,Weekly, , , ,3 to 5 days
15 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,Yes,Once or twice per year, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
14 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
17 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,9, ,I have never had sexual intercourse,9, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,6 to 9 days
16 years old,Male,Freshman - 9th,Other, ,9,0 days, ,No,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,3 to 5 days
15 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
18 years old or older,Male,Freshman - 9th,Hispanic or Latino, ,Mostly D's,0 days, ,No,9, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,0 days
14 years old,Female,Freshman - 9th,Black, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Male,Freshman - 9th,Other, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,Black, ,Mostly D's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,3 to 5 days
14 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,0 days
17 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,No,9, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
15 years old,Female,Freshman - 9th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,1 or 2 days
14 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days, ,No,I have never gambled, , , ,10 to 19 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,3 to 5 days
14 years old,Male,Freshman - 9th,White, ,Mostly C's,0 days, ,9,Once or twice per year, , , ,3 to 5 days
14 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Male,Other,Asian or other Pacific Islander, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,Black, ,I don't know,0 days, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Female,Freshman - 9th,Black, ,9,0 days, ,No,Once or twice per year, , , ,0 days
14 years old,Male,Freshman - 9th,Asian or other Pacific Islander, ,I don't know,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
14 years old,Female,Freshman - 9th,White, ,I don't know,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,6 to 9 days
16 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Female,Freshman - 9th,White, ,I don't know,0 days, ,No,I have never gambled, , , ,0 days
9,Male,Freshman - 9th,Black, ,Mostly B's,0 days, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Male,Sophomore - 10th,Black, ,Mostly A's,9, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Female,Freshman - 9th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly C's,2 or 3 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,3 to 5 days
15 years old,Male,Freshman - 9th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
14 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,1 or 2 days
13 years old or younger,Male,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,3 to 5 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly C's,0 days, ,No,Once or twice per year, , , ,1 or 2 days
14 years old,Male,Freshman - 9th,Other, ,Mostly B's,0 days, ,9,Once or twice per year, , , ,0 days
17 years old,Male,Freshman - 9th,White, ,Mostly A's,0 days, ,No,9, , , ,1 or 2 days
15 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days, ,No,I have never gambled, , , ,1 or 2 days
16 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly D's,0 days, ,No,Once or twice per year, , , ,0 days
15 years old,Female,Freshman - 9th,Black, ,I don't know,0 days, ,No,I have never gambled, , , ,0 days
16 years old,Female,Freshman - 9th,9, ,9,9, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Female,Freshman - 9th,White, ,I don't know,9, ,I have never had sexual intercourse,9, , , ,1 or 2 days
17 years old,Male,Freshman - 9th,Other, ,Mostly C's,0 days, ,Yes,At least once per month, , , ,0 days
17 years old,Female,Freshman - 9th,Black, ,Mostly E's or F's,0 days, ,No,9, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
18 years old or older,Male,Freshman - 9th,Other, ,I don't know,0 days, ,No,9, , , ,0 days
14 years old,Female,Freshman - 9th,Asian or other Pacific Islander, ,Mostly B's,0 days, ,9,I have never gambled, , , ,0 days
15 years old,Male,Freshman - 9th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Female,Freshman - 9th,Other, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
18 years old or older,Female,Sophomore - 10th,9, ,Mostly C's,9, ,No,9, , , ,0 days
18 years old or older,Female,Sophomore - 10th,White, ,Mostly C's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,6 or more days, ,I have never had sexual intercourse,Daily, , , ,0 days
15 years old,Female,Sophomore - 10th,Other, ,9,0 days, ,Yes,Once or twice per year, , , ,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,1 day, ,No,I have never gambled, , , ,1 or 2 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,1 or 2 days
16 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,Once or twice per year, , , ,1 or 2 days
15 years old,Female,Sophomore - 10th,Asian or other Pacific Islander, ,9,1 day, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly D's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,0 days
16 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,Once or twice per year, , , ,6 to 9 days
16 years old,Female,Sophomore - 10th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,1 or 2 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,No,Once or twice per year, , , ,10 to 19 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Other,White, ,Mostly D's,0 days, ,No,Weekly, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,I don't know,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,6 to 9 days
16 years old,Male,Sophomore - 10th,Black, ,Mostly D's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,9, , , ,3 to 5 days
16 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,9, , , ,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,1 day, ,I have never had sexual intercourse,Weekly, , , ,1 or 2 days
16 years old,Male,Sophomore - 10th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,6 to 9 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,9, , , ,0 days
17 years old,Male,Sophomore - 10th,White, ,Mostly D's,0 days, ,No,Weekly, , , ,10 to 19 days
15 years old,Male,Sophomore - 10th,Other, ,Mostly D's,0 days, ,I have never had sexual intercourse,Weekly, , , ,10 to 19 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly E's or F's,2 or 3 days, ,I have never had sexual intercourse,At least once per month, , , ,3 to 5 days
17 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,I don't know,At least once per month, , , ,0 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly D's,0 days, ,No,Once or twice per year, , , ,6 to 9 days
16 years old,Male,Sophomore - 10th,White, ,Mostly D's,0 days, ,No,At least once per month, , , ,20 to 29 days
16 years old,Male,Sophomore - 10th,Other, ,Mostly C's,0 days, ,No,Once or twice per year, , , ,All 30 days
16 years old,Male,Sophomore - 10th,White, ,Mostly E's or F's,0 days, ,I have never had sexual intercourse,Weekly, , , ,6 to 9 days
17 years old,Female,Sophomore - 10th,Other, ,Mostly B's,2 or 3 days, ,No,9, , , ,3 to 5 days
17 years old,Female,Senior - 12th,Hispanic or Latino, ,Mostly D's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Female,Sophomore - 10th,Black, ,I don't know,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,Black, ,Mostly C's,0 days, ,No,Weekly, , , ,6 to 9 days
18 years old or older,Female,Senior - 12th,White, ,Mostly C's,0 days, ,No,I have never gambled, , , ,6 to 9 days
16 years old,Male,Sophomore - 10th,Other, ,9,0 days, ,No,Daily, , , ,6 to 9 days
16 years old,Male,Sophomore - 10th,9, ,Mostly E's or F's,0 days, ,No,I have never gambled, , , ,6 to 9 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,9, ,No,9, , , ,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,3 to 5 days
9,Female,Sophomore - 10th,9, ,Mostly A's,0 days, ,9,Once or twice per year, , , ,9
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,No,Daily, , , ,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Male,Sophomore - 10th,Black, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Female,Sophomore - 10th,Black, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly D's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,No,I have never gambled, , , ,1 or 2 days
16 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,7, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,No,Once or twice per year, , , ,6 to 9 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly B's,1 day, ,No,Once or twice per year, , , ,3 to 5 days
16 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Female,Sophomore - 10th,Black, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly D's,9, ,No,I have never gambled, , , ,3 to 5 days
15 years old,Male,Sophomore - 10th,Black, ,Mostly C's,0 days, ,No,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,Black, ,Mostly A's,6 or more days, ,I don't know,Daily, , , ,All 30 days
16 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,Yes,At least once per month, , , ,1 or 2 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly B's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,1 or 2 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino, ,9,0 days, ,Yes,I have never gambled, , , ,1 or 2 days
16 years old,Male,Sophomore - 10th,White, ,Mostly D's,0 days, ,No,Once or twice per year, , , ,6 to 9 days
16 years old,Female,Sophomore - 10th,Other, ,Mostly B's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,Once or twice per year, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly C's,0 days, ,I have never had sexual intercourse,Once or twice per year, , , ,6 to 9 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,Black, ,Mostly D's,0 days, ,I have never had sexual intercourse,9, , , ,6 to 9 days
15 years old,Male,Sophomore - 10th,9, ,Mostly C's,0 days, ,I have never had sexual intercourse,At least once per month, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,1 day, ,No,Once or twice per year, , , ,0 days
17 years old,Male,Sophomore - 10th,Black, ,9,1 day, ,No,I have never gambled, , , ,3 to 5 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I don't know,Weekly, , , ,6 to 9 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,9, ,Yes,9, , , ,9
17 years old,Female,Junior - 11th,White, ,Mostly C's,9, ,9,9, , , ,9
18 years old or older,Male,Junior - 11th,Black, ,9,9, ,9,9, , , ,9
17 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly B's,9, ,9,9, , , ,9
17 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly C's,9, ,9,9, , , ,9
16 years old,Female,Junior - 11th,White, ,Mostly B's,9, ,I have never had sexual intercourse,9, , , ,1 or 2 days
17 years old,Male,Junior - 11th,Hispanic or Latino, ,Mostly C's,9, ,9,9, , , ,9
16 years old,Male,Junior - 11th,White, ,Mostly C's,9, ,9,9, , , ,9
17 years old,Female,Sophomore - 10th,Black, ,Mostly B's,0 days, ,No,I have never gambled, , , ,10 to 19 days
16 years old,Female,Junior - 11th,White, ,Mostly C's,9, ,Yes,9, , , ,0 days
17 years old,Female,Junior - 11th,White, ,Mostly C's,9, ,No,9, , , ,9
18 years old or older,Male,Junior - 11th,9, ,I don't know,9, ,9,9, , , ,9
17 years old,Male,Junior - 11th,Hispanic or Latino, ,9,9, ,Yes,9, , , ,6 to 9 days
17 years old,Female,Junior - 11th,Black, ,Mostly B's,9, ,Yes,9, , , ,1 or 2 days
17 years old,Female,Junior - 11th,Black, ,Mostly C's,9, ,I have never had sexual intercourse,9, , , ,9
16 years old,Male,Junior - 11th,Asian or other Pacific Islander, ,Mostly B's,9, ,I have never had sexual intercourse,9, , , ,9
17 years old,Female,Junior - 11th,White, ,Mostly C's,9, ,No,9, , , ,6 to 9 days
16 years old,Female,Sophomore - 10th,Other, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Female,Freshman - 9th,American Indian or Alaska Native, ,Mostly C's,9, ,I have never had sexual intercourse,9, , , ,0 days
17 years old,Female,Freshman - 9th,Black, ,Mostly A's,9, ,I have never had sexual intercourse,9, , , ,0 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,I have never gambled, , , ,0 days
17 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,9, , , ,1 or 2 days
18 years old or older,Female,Senior - 12th,American Indian or Alaska Native, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,No,None,1 or 2 days
18 years old or older,Female,Senior - 12th,White, ,Mostly C's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino, ,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,Yes,None,1 or 2 days
15 years old,Male,Sophomore - 10th,White, ,Mostly A's,0 days,5 or more,No,Once or twice per year,No,No,None,0 days
15 years old,Male,Sophomore - 10th,Black, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,At least once per month,Yes,Yes,None,3 to 5 days
16 years old,Female,Junior - 11th,Other, ,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,1 or 2 days
16 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
16 years old,Male,Junior - 11th,White, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,Yes,None,0 days
17 years old,Male,Junior - 11th,Black, ,Mostly D's,0 days,1 or 2,No,Once or twice per year,No,No,6-10 hours,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,No,26-30 hours,3 to 5 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander, ,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
16 years old,Male,Junior - 11th,American Indian or Alaska Native, ,Mostly C's,1 day,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes, ,0 days
17 years old,Male,Sophomore - 10th,Hispanic or Latino, ,Mostly E's or F's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,Black, ,Mostly B's,0 days,None,No,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,At least once per month,No,Yes,11-15 hours,6 to 9 days
16 years old,Female,Junior - 11th,White, ,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Other, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,11-15 hours,10 to 19 days
17 years old,Female,Junior - 11th,Other, ,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino, ,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,21-25 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino, ,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,5 hours or less,1 or 2 days
17 years old,Male,Junior - 11th,Black, ,Mostly C's,0 days,1 or 2,Yes,I have never gambled, ,Yes,21-25 hours,1 or 2 days
17 years old,Female,Senior - 12th,White, ,Mostly C's,0 days,5 or more,Yes,I have never gambled,No,Yes,21-25 hours,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled, , ,None,0 days
17 years old,Female,Junior - 11th,White, ,Mostly B's,0 days,3 or 4,No,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,White, ,Mostly C's,0 days,1 or 2,No,I have never gambled,No,Yes,16-20 hours,1 or 2 days
16 years old,Female,Sophomore - 10th,White, ,Mostly C's,1 day,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,3 to 5 days
17 years old,Female,Senior - 12th,White, ,Mostly A's,2 or 3 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Sophomore - 10th,White, ,I don't know,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
18 years old or older,Male,Senior - 12th,White, ,Mostly B's,0 days,3 or 4,No,At least once per month,Yes,Yes,None,0 days
17 years old,Male,Sophomore - 10th,Black, ,Mostly D's,0 days,1 or 2, , , , , , 
17 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Freshman - 9th,Hispanic or Latino, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Freshman - 9th,Hispanic or Latino, ,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,No,5 hours or less,0 days
16 years old,Female,Freshman - 9th,White, ,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
